#now;dir;sched;esti;lu;typ;al;fnr;alname;iata;ac;reg;status
0 05:00;D;0 21:55 /*=24*/;;;P;SQ;325;Singapore Airlines;SIN;B77W;;
0 06:00;D;0 21:55;;;P;SQ;325;Singapore Airlines;SIN;B77W;;
0 07:00;D;0 21:55;;;P;SQ;325;Singapore Airlines;SIN;B77W;;
0 08:00;D;0 21:55;;;P;SQ;325;Singapore Airlines;SIN;B77W;;
0 09:00;D;0 21:55;;;P;SQ;325;Singapore Airlines;SIN;B77W;;
0 10:00;D;0 21:55;;;P;SQ;325;Singapore Airlines;SIN;B77W;;
0 11:00;D;0 21:55;;;P;SQ;325;Singapore Airlines;SIN;B77W;;
0 12:00;D;0 21:55;;;P;SQ;325;Singapore Airlines;SIN;B77W;;
0 13:00;D;0 21:55;;;P;SQ;325;Singapore Airlines;SIN;B77W;;
0 14:00;D;0 21:55;;;P;SQ;325;Singapore Airlines;SIN;B77W;;
0 15:00;D;0 21:55;;;P;SQ;325;Singapore Airlines;SIN;B77W;;
0 16:00;D;0 21:55;;;P;SQ;325;Singapore Airlines;SIN;B77W;;
0 17:00;D;0 21:55;;;P;SQ;325;Singapore Airlines;SIN;B77W;9VSWK /*=9*/;
0 18:00;D;0 21:55;;;P;SQ;325;Singapore Airlines;SIN;B77W;9VSWK;
0 19:00;D;0 21:55;;;P;SQ;325;Singapore Airlines;SIN;B77W;9VSWK;
0 20:00;D;0 21:55;;;P;SQ;325;Singapore Airlines;SIN;B77W;9VSWK;Gate offen
0 21:00;D;0 21:55;;;P;SQ;325;Singapore Airlines;SIN;B77W;9VSWK;geschlossen
0 22:00;D;0 21:55;;;P;SQ;325;Singapore Airlines;SIN;B77W;9VSWK;gestartet /* !vis*/
0 22:00;D;1 21:55 /*=47*/;;;P;SQ;325;Singapore Airlines;SIN;B77W;;
0 23:00;D;1 21:55;;;P;SQ;325;Singapore Airlines;SIN;B77W;;
1 05:00;D;0 21:55;;;P;SQ;325;Singapore Airlines;SIN;B77W;;
1 06:00;D;0 21:55;;;P;SQ;325;Singapore Airlines;SIN;B77W;;
1 07:00;D;0 21:55;;;P;SQ;325;Singapore Airlines;SIN;B77W;;
1 08:00;D;0 21:55;;;P;SQ;325;Singapore Airlines;SIN;B77W;;
1 09:00;D;0 21:55;;;P;SQ;325;Singapore Airlines;SIN;B77W;;
1 10:00;D;0 21:55;;;P;SQ;325;Singapore Airlines;SIN;B77W;;
1 11:00;D;0 21:55;;;P;SQ;325;Singapore Airlines;SIN;B77W;;
1 12:00;D;0 21:55;;;P;SQ;325;Singapore Airlines;SIN;B77W;;
1 13:00;D;0 21:55;;;P;SQ;325;Singapore Airlines;SIN;B77W;;
1 14:00;D;0 21:55;;;P;SQ;325;Singapore Airlines;SIN;B77W;;
1 15:00;D;0 21:55;;;P;SQ;325;Singapore Airlines;SIN;B77W;;
1 16:00;D;0 21:55;;;P;SQ;325;Singapore Airlines;SIN;B77W;;
1 17:00;D;0 21:55;;;P;SQ;325;Singapore Airlines;SIN;B77W;9VSWK /*=9*/;
1 18:00;D;0 21:55;;;P;SQ;325;Singapore Airlines;SIN;B77W;9VSWK;
1 19:00;D;0 21:55;;;P;SQ;325;Singapore Airlines;SIN;B77W;9VSWK;
1 20:00;D;0 21:55;;;P;SQ;325;Singapore Airlines;SIN;B77W;9VSWK;Gate offen
1 21:00;D;0 21:55;;;P;SQ;325;Singapore Airlines;SIN;B77W;9VSWK;geschlossen
1 22:00;D;0 21:55;;;P;SQ;325;Singapore Airlines;SIN;B77W;9VSWK;gestartet /* !vis*/
1 22:00;D;1 21:55 /*=71*/;;;P;SQ;325;Singapore Airlines;SIN;B77W;;
1 23:00;D;1 21:55;;;P;SQ;325;Singapore Airlines;SIN;B77W;;
